,summary,date
69,Sees Q2 revenue $3.55B-$3... DXC,2022-08-03
70,Reports Q1 revenue $3.71B... DXC,2022-08-03
71,"Ernst & Young LLP (EY US) announced today that a highly skilled team of Americas Microsoft Dynamics professionals from DXC Technology (NYSE: DXC) is joining the EY Microsoft Services Group. The combined team will help clients modernize their finance and operations, enterprise resource planning (ERP) and supply chain management by designing, developing and implementing custom solutions using Microsoft technologies.",2022-08-02
72,"Statistically speaking, long term investing is a profitable endeavour. But no-one is immune from buying too high. For...",2022-08-01
73,"In a report issued on July 29, Daniel ...",2022-08-01
74,,2022-07-31
75,These are the stocks posting the largest moves in midday trading. ,2022-07-28
76,"Investment management company Miller Value Partners recently released its Q2, 2022 investment letter, a copy of which can be downloaded here. The firm faced notable challenges due to continued volatility in the last couple of years. In the second quarter, Miller Opportunity fund was down by -29.3%, extending its first half return to -31.08% net of […]",2022-07-28
77,"DXC Technology's (DXC) first-quarter fiscal 2023 performance is likely to have been negatively impacted by the business operation closure in Russia, the strong U.S. dollar and divestitures.",2022-07-28
78,GuruFocus Article or News written by insider and the topic is about: ,2022-07-28
79,"Item 5.07 Submission of Matters to a Vote of Security Holders.DXC Technology Company's 2022 Annual Meeting of Stockholders was held on July 26, 2022. The Company previously... | July 28, 2022",2022-07-28
80,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
81,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
82,DXC Technology Company. (DXC) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-27
83,Miller Opportunity Equity was down 31.8% net of fees in the first half vs. the S&P 500âs 20.0% decline. Click here to read the full fund letter.,2022-07-26
84,"Sesame sells the systems for anywhere from $100,000 to $300,000, or more for larger installations like a full medical clinic. ",2022-07-25
85,"Staff article entitled October 21st Options Now Available For DXC Technology (DXC), about stock options, from Stock Options Channel.",2022-07-25
86,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
87,"State Street (STT) announ... STT, DXC",2022-07-21
88,"DXC Technology (NYSE: DXC) today announced that it will release financial results for the first quarter of fiscal year 2023 on Wednesday, August 3, 2022, at approximately 4:15 p.m. Eastern Daylight Time (EDT).",2022-07-20
89,JPMorgan analyst Tien-tsi... DXC,2022-07-20
90,"Notable gainers among liq... CCL, RCL, PVH, ON, DXC",2022-07-19
91,"""Knock at the Cabin,"" a new film by director M. Night Shyamalan, is the first adaptation of one of Paul Tremblay's horror novels.",2022-07-16
92,"Shares of DXC Technology Co. rallied 2.83% to $28.74 Friday, on what proved to be an all-around great trading session for the stock market, with the S&P 500...",2022-07-15
93,"Ride-related injuries dropped by more than 60% between 2004 and 2019, according to the International Association of Amusement Parks and Attractions.",2022-07-15
94,"Shares of DXC Technology Co. slid 2.10% to $27.95 Thursday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",2022-07-14
95,"CNBC obtained a list of nearly 20 corporations and trade groups that RSVP'd to attend a swanky, three-day retreat at the Breakers resort starting Sunday.",2022-07-14
96,"Shares of DXC Technology Co. slumped 0.38% to $28.55 Wednesday, on what proved to be an all-around poor trading session for the stock market, with the S&P...",2022-07-13
97,The streamer announced in April that it was planning on rolling out an ad-supported tier after years of resisting the move.,2022-07-13
98,"Shares of DXC Technology Co. shed 2.05% to $28.66 Tuesday, on what proved to be an all-around poor trading session for the stock market, with the S&P 500...",2022-07-12
99,"""Succession"" tops the 2022 Emmy Award nominations followed by ""Ted Lasso"" and ""The White Lotus.""",2022-07-12
100,"The Oakmark Fund returned -17.8% during the second quarter, underperforming the S&P 500 Indexâs return. Click here to read the full fund letter.",2022-07-11
101,"Moviegoers aren't just returning to cinemas, they are spending more on premium tickets and concessions.",2022-07-11
102,"Shares of DXC Technology Co. slipped 2.04% to $29.26 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500...",2022-07-11
103,Investors need to pay close attention to DXC Technology (DXC) stock based on the movements in the options market lately.,2022-07-11
104,"""Thor: Love and Thunder"" tallied $143 million during its domestic debut, pushing the overall weekend haul to more than $200 million.",2022-07-10
105,"A movie industry panel discusses how it assigns ratings to newly released films, including details about what constitutes an R rating.",2022-07-09
106,"Shares of DXC Technology Co. were unchanged Friday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-07-08
107,"Shares of DXC Technology Co. advanced 1.88% to $29.87 Thursday, on what proved to be an all-around great trading session for the stock market, with the S&P...",2022-07-07
108,"DXC Technology (DXC) partners with Manchester United to scale the club's digital transformation, enhancing experiences for its global fan base.",2022-07-07
109,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2022-07-07
110,"DXC Technology's margins are improving, primarily from the cost side. So, why do I think DXC stock seems to be an unnecessary exposure? Click here to find out.",2022-07-07
111,"Shares of DXC Technology Co. slid 1.91% to $29.32 Wednesday, on what proved to be an all-around positive trading session for the stock market, with the S&P...",2022-07-06
112,"IT and consulting services provider DXC has signed a deal with Manchester United to become the Premier League club's sleeve sponsor, manage its digital presence and use data analytics to deliver a more personalized experience for fans.",2022-07-06
113,"DXC Technology (DXC) is likely to continue gaining from the ongoing digital transformation around the globe. However, stiff competition from tech giants and weak liquidity position remain headwinds.",2022-07-06
114,"DXC Technology (NYSE: DXC) and Manchester United (NYSE: MANU) have signed a major, multiyear partnership agreement as the football club turns to technology to transform its operations and enhance the football experience for its global fanbase.",2022-07-06
115,"In an era of flagship streaming services like Disney+ and Peacock, Hulu is caught in the middle. ",2022-07-06
116,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-07-06
117,"DXC Technology (DXC) and ... DXC, MANU",2022-07-06
118,"Manchester United (MANU) ... MANU, DXC",2022-07-06
