,summary,date
66,"PPL (PPL) delivered earnings and revenue surprises of 3.45% and 18.45%, respectively, for the quarter ended June 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-08-03
67,"PPL Corporation (NYSE: PPL) today announced second-quarter 2022 reported earnings (GAAP) of $119 million, or $0.16 per share, compared with second-quarter 2021 reported earnings of $19 million, or $0.03 per share.",2022-08-03
68,"PPL Corporation today announced second-quarter 2022 reported earnings of $119 million, or $0.16 per share, compared with second-quarter 2021 reported earnings of $19 million, or $0.03 per share. ... | August 3, 2022",2022-08-03
69,"ALLENTOWN, Pa. _ PPL Corp. on Wednesday reported profit of $119 million in its second quarter. On a per-share basis, the Allentown, Pennsylvania-based company said it had net... | August 3, 2022",2022-08-03
70,"Item 2.02 Results of Operations and Financial ConditionOn August 3, 2022, PPL Corporation issued a press release announcing itsfinancial results for the quarter ended June 30, 2022 and other... | August 3, 2022",2022-08-03
71,"2nd Quarter Investor Update August 3, 2022 PPL Corporation Cautionary Statements and Factors That... | August 3, 2022",2022-08-03
72,Backs projected compound ... PPL,2022-08-03
73,"Reports Q2 revenue $1.7B,... PPL",2022-08-03
74,"Item 9.01 Financial Statements and Exhibits. Financial Statements of Business Acquired.The following audited financial statements and related report of independentregistered public accounting... | August 2, 2022",2022-08-02
75,"Shares of PPL Corp. inched 0.34% higher to $29.10 Tuesday, on what proved to be an all-around rough trading session for the stock market, with the S&P 500...",2022-08-02
76,"Shares of PPL Corp. slipped 0.28% to $29.00 Monday, on what proved to be an all-around dismal trading session for the stock market, with the S&P 500 Index...",2022-08-01
77,"Ownership Submission FORM 4 Check this box if no longer... | August 1, 2022",2022-08-01
78,"ppl-20220729 UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 FORM 8-K ... | August 1, 2022",2022-08-01
79,"Item 2.03 Creation of a Direct Financial Obligation under an Off-Balance SheetArrangement of a RegistrantPPL CorporationOn July 29, 2022, PPL Corporation's subsidiaries, Louisville Gas and... | August 1, 2022",2022-08-01
80,"ALLENTOWN, Pa. - The PPL Foundation announced $450,000 in grants to nearly 100 nonprofit organizations throughout eastern and central Pennsylvania as part of the Foundation's Sustaining Grants... | July 29, 2022",2022-07-29
81,Con Ed (ED) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-28
82,"PPL's second-quarter results are likely to benefit from higher transmission demand and a reduction in the debt balance, partly offset by an increase in operating expenses.",2022-07-28
83,These are the stocks posting the largest moves in midday trading. ,2022-07-28
84,"CNBC's 'Squawk Box' team breaks down the latest earnings results from Comcast, which beat analysts' expectations on the top and bottom lines.",2022-07-28
85,"The stocks making the biggest moves in premarket trading include Stanley Black & Decker, Southwest Airlines, Harley-Davidson, and more.",2022-07-28
86,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2022-07-28
87,"energy stock channel,PPL,",2022-07-28
88,"Thanks to customers' interest and ongoing support, LG&E and KU's Solar Share facility in Shelby County has grown again. Spanning more than 6,000 solar panels, it's now producing more than 2... | July 27, 2022",2022-07-27
89,PPL (PPL) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-07-27
90,"There's a head spinning amount of news for markets to navigate in the week ahead, the biggest of which will be the Federal Reserve's mid-week meeting.",2022-07-22
91,GuruFocus Article or News written by insider and the topic is about: ,2022-07-22
92,GuruFocus Article or News written by insider and the topic is about: ,2022-07-22
